name,website,score,reasons,address,phone,city,category,place_id
"Radiant Plumbing, Air Conditioning, & Electrical",https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,39,"fetch_failed,unverified","901 Reinli St, Austin, TX 78751",(512) 690-4935,"Austin, TX",plumber,0x8644ca381d518ca7:0x7e3f5f97f8360765
Plumb & Order,http://www.plumbandorder.com/,39,"fetch_failed,unverified",,(512) 900-0054,"Austin, TX",plumber,0x8644cc40d0e7bf21:0x16d84298f9525e7d
4 Paws Plumbing,https://www.4pawsplumbing.com/?utm_source=GoogleAdPagesHomepage&utm_medium=GoogleAdPagesHomepage&utm_campaign=GoogleAdPagesHomepage&utm_id=GoogleAdPagesHomepage,39,"fetch_failed,unverified",,(512) 494-4761,"Austin, TX",plumber,0x8644cb3447822b1d:0x5d0e237119046449
"Mr. Electric of Austin, TX",https://www.mrelectricaustin.com/,39,"fetch_failed,unverified",,(512) 301-9824,"Austin, TX",electrician,0x8644cfed1ef1b175:0x4773a651aa916edc
Falco Electrical Services LLC,https://www.falcoelectricllc.com/,39,"fetch_failed,unverified",,(512) 470-8938,"Austin, TX",electrician,0x865b4d77abdcbb21:0xa3faccb3c899bed6
Brushy Creek,http://brushycreekelectric.net/%20%20brushycreekelectric.com,39,"fetch_failed,unverified","11613 Star View Trail, Austin, TX 78750",(512) 335-2828,"Austin, TX",electrician,0x865b4763a5fafafd:0x47c8593921356c3c
ABA Heating and Cooling,https://abaaustin.com/,39,"fetch_failed,unverified","2409 Richcreek Rd #2, Austin, TX 78757",(512) 200-9332,"Austin, TX",hvac repair,0x865b5640034e8247:0xb63d88545a302fbb
Arrow Service Center,https://www.arrowsvccenter.com/,39,"fetch_failed,unverified","8204 N Lamar Blvd Ste B-15, Austin, TX 78753",(512) 832-1000,"Austin, TX",hvac repair,0x8644cdfb3cc0894d:0x83d7483e9570cac0
Johnny Rooter,http://www.johnnyrooter.com/,5,"bot_protection,unverified","6725 Shirley Ave, Austin, TX 78752",(512) 454-6260,"Austin, TX",plumber,0x8644cbf98cf77c3b:0xd9fd1d041b132575
We Plumb LLC,https://weplumbatx.com/,5,"bot_protection,unverified",,(737) 297-5863,"Austin, TX",plumber,0x8644c982b6cf1571:0x204e0796431b339a
"Brad B Plumbing Services, LLC",http://bradbplumbing.com/,5,"bot_protection,unverified","4301 W William Cannon Dr Ste B-150-114, Austin, TX 78749",(512) 402-6901,"Austin, TX",plumber,0x865b463d9dda5071:0xc4c06b2cad8a5ebd
Fast Plumbing LLC,https://www.fastplumbing.com/?utm_source=GMB&utm_medium=organic&utm_campaign=austin,5,"bot_protection,unverified","6200 N Farm to Market Rd 973, Austin, TX 78724",(512) 928-0378,"Austin, TX",plumber,0x865b4b99d883a9ef:0x9adc7ed20f292bd9
"L & P Plumbing, LLC",https://www.lnpplumbing.com/,5,"bot_protection,unverified","644 Canion St, Austin, TX 78752",(512) 468-9030,"Austin, TX",plumber,0xafbc76bbe00a338d:0x67d35163b0270638
Volthouse Electric,http://www.volthouseelectric.com/,5,"bot_protection,unverified",,(512) 765-0604,"Austin, TX",electrician,0x8644b55bccb13847:0xadf3ec39e2803170
CP Electrical Contractors,https://getcpelectric.com/,5,"bot_protection,unverified","100 Elder Hill Rd #3, Driftwood, TX 78619",,"Austin, TX",electrician,0x8644b38d5af41faf:0xadab125d49dea56a
"Efficient AC, Electric & Plumbing",https://efficienttexas.com/?utm_source=google&utm_medium=organic&utm_campaign=website_link,5,"bot_protection,unverified","10315 Metropolitan Dr Suite A, Austin, TX 78758",(512) 537-4700,"Austin, TX",electrician,0x8644cdf0e26c4531:0x7541ff6d37e511b6
Firefly Comfort Systems,https://fireflyhvac.com/,5,"bot_protection,unverified",,(512) 994-5545,"Austin, TX",hvac repair,0x8644cbd4cad54fcf:0xf69cc5d004097efd
One Hour Heating & Air ConditioningÂ® of West Austin,https://onehouraircentraltexas.com/,5,"bot_protection,unverified","5900 Balcones Dr Ste 150, Austin, TX 78731",(512) 672-6536,"Austin, TX",hvac repair,0xab6bbf05f5f8ea45:0x60d303e995a455f2
